control,validation_auroc,test_auroc,test_balanced_accuracy
mean,0.5295875251509055,0.4940405129970598,0.5113207005502103
std,0.5007645875251509,0.5331301044665494,0.5408087792748526
p10,0.5049144869215292,0.4912981987904563,0.5117921266152272
p90,0.5677162977867203,0.535984521809911,0.526265406087567
p90_minus_p10,0.4755030181086519,0.5110293650149124,0.5201029320548115
center_mean,0.47945674044265596,0.47150275073949455,0.4760327862278996
border_mean,0.5556136820925553,0.5084396421343345,0.5130758128472067
center_minus_border,0.5978470824949699,0.5847970125801251,0.5758785332478635
gradient_mean,0.6151056338028169,0.598070117586595,0.5894006133141549
diagonal_multivariate,0.5879979879275654,0.5754431096864053,0.572499992783897
